"Team" "W" "L" "PTS" "PTS.G" "oppPTS" "oppPTS.G" "ptsDIFF" "ptsDIFF.G" "Playoffs" "Year" "G" "MP" "FG" "FGA" "FG_P" "x3P" "x3PA" "x3P_P" "x2P" "x2PA" "x2P_P" "FT" "FTA" "FT_P" "ORB" "DRB" "TRB" "AST" "STL" "BLK" "TOV"
"1" "Atlanta Hawks" 28 54 7735 94.3 8176 99.7 -441 -5.40000000000001 0 2000 82 19830 3000 6807 0.441 258 814 0.317 2742 5993 0.458 1477 1987 0.743 1146 2570 3716 1548 500 461 1266
"2" "Boston Celtics" 35 47 8146 99.3 8208 100.1 -62 -0.799999999999997 0 2000 82 19730 3054 6880 0.444 417 1260 0.331 2637 5620 0.469 1621 2175 0.745 1108 2420 3528 1741 795 286 1259
"3" "Charlotte Hornets" 49 33 8072 98.4 7853 95.8 219 2.60000000000001 1 2000 82 19780 2935 6533 0.449 339 1001 0.339 2596 5532 0.469 1863 2458 0.758 884 2635 3519 2023 732 480 1206
"4" "Chicago Bulls" 17 65 6952 84.8 7723 94.2 -771 -9.40000000000001 0 2000 82 19805 2565 6180 0.415 340 1032 0.329 2225 5148 0.432 1482 2089 0.709 1032 2323 3355 1645 646 383 1557
"5" "Cleveland Cavaliers" 32 50 7950 97 8237 100.5 -287 -3.5 0 2000 82 19855 2977 6734 0.442 343 919 0.373 2634 5815 0.453 1653 2205 0.75 1010 2499 3509 1941 715 363 1427
"6" "Dallas Mavericks" 40 42 8316 101.4 8363 102 -47 -0.599999999999994 0 2000 82 19730 3195 7047 0.453 519 1326 0.391 2676 5721 0.468 1407 1751 0.804 931 2444 3375 1810 592 416 1124
"7" "Denver Nuggets" 35 47 8115 99 8289 101.1 -174 -2.09999999999999 0 2000 82 19855 3057 6911 0.442 470 1397 0.336 2587 5514 0.469 1531 2116 0.724 1073 2590 3663 1911 554 618 1281
"8" "Detroit Pistons" 42 40 8483 103.5 8365 102 118 1.5 1 2000 82 19830 3044 6635 0.459 439 1223 0.359 2605 5412 0.481 1956 2506 0.781 917 2458 3375 1707 665 273 1288
"9" "Golden State Warriors" 19 63 7834 95.5 8512 103.8 -678 -8.3 0 2000 82 19755 2996 7140 0.42 345 1069 0.323 2651 6071 0.437 1497 2147 0.697 1300 2438 3738 1851 731 356 1302
"10" "Houston Rockets" 34 48 8156 99.5 8227 100.3 -71 -0.799999999999997 0 2000 82 19830 3001 6664 0.45 581 1625 0.358 2420 5039 0.48 1573 2145 0.733 1008 2586 3594 1774 613 438 1425
"11" "Indiana Pacers" 56 26 8306 101.3 7929 96.7 377 4.59999999999999 1 2000 82 19730 3047 6640 0.459 583 1487 0.392 2464 5153 0.478 1629 2008 0.811 842 2612 3454 1857 559 422 1159
"12" "Los Angeles Clippers" 15 67 7546 92 8491 103.5 -945 -11.5 0 2000 82 19705 2877 6757 0.426 429 1267 0.339 2448 5490 0.446 1363 1826 0.746 955 2377 3332 1479 578 494 1325
"13" "Los Angeles Lakers" 67 15 8267 100.8 7566 92.3 701 8.5 1 2000 82 19805 3137 6836 0.459 344 1047 0.329 2793 5789 0.482 1649 2368 0.696 1117 2738 3855 1921 613 534 1143
"14" "Miami Heat" 52 30 7739 94.4 7484 91.3 255 3.10000000000001 1 2000 82 19830 2974 6462 0.46 446 1202 0.371 2528 5260 0.481 1345 1827 0.736 921 2619 3540 1931 582 524 1231
"15" "Milwaukee Bucks" 42 40 8300 101.2 8282 101 18 0.200000000000003 1 2000 82 19855 3174 6827 0.465 394 1069 0.369 2780 5758 0.483 1558 1982 0.786 1016 2373 3389 1852 671 381 1230
"16" "Minnesota Timberwolves" 50 32 8079 98.5 7872 96 207 2.5 1 2000 82 19905 3226 6910 0.467 248 716 0.346 2978 6194 0.481 1379 1769 0.78 1016 2471 3487 2205 622 444 1139
"17" "New Jersey Nets" 31 51 8036 98 8121 99 -85 -1 0 2000 82 19830 2979 6881 0.433 477 1374 0.347 2502 5507 0.454 1601 2041 0.784 1040 2315 3355 1688 720 393 1119
"18" "New York Knicks" 50 32 7555 92.1 7435 90.7 120 1.39999999999999 1 2000 82 19830 2897 6374 0.455 351 937 0.375 2546 5437 0.468 1410 1805 0.781 802 2521 3323 1588 515 349 1201
"19" "Orlando Magic" 41 41 8206 100.1 8150 99.4 56 0.699999999999989 0 2000 82 19755 3169 7014 0.452 294 870 0.338 2875 6144 0.468 1574 2142 0.735 1145 2540 3685 1709 743 467 1443
"20" "Philadelphia 76ers" 49 33 7771 94.8 7661 93.4 110 1.39999999999999 1 2000 82 19830 2993 6776 0.442 208 643 0.323 2785 6133 0.454 1577 2226 0.708 1147 2468 3615 1817 791 386 1284
"21" "Phoenix Suns" 53 29 8111 98.9 7683 93.7 428 5.2 1 2000 82 19805 3093 6771 0.457 458 1246 0.368 2635 5525 0.477 1467 1934 0.759 1022 2558 3580 2098 744 433 1368
"22" "Portland Trail Blazers" 59 23 7991 97.5 7466 91 525 6.5 1 2000 82 19780 3021 6430 0.47 407 1128 0.361 2614 5302 0.493 1542 2029 0.76 966 2560 3526 1925 633 396 1243
"23" "Sacramento Kings" 44 38 8607 105 8368 102 239 3 1 2000 82 19805 3276 7288 0.45 534 1656 0.322 2742 5632 0.487 1521 2016 0.754 1056 2635 3691 1953 787 381 1325
"24" "San Antonio Spurs" 53 29 7886 96.2 7399 90.2 487 6 1 2000 82 19855 2952 6393 0.462 330 882 0.374 2622 5511 0.476 1652 2214 0.746 927 2666 3593 1819 614 551 1233
"25" "Seattle SuperSonics" 45 37 8125 99.1 8047 98.1 78 1 1 2000 82 19780 3108 6946 0.447 546 1611 0.339 2562 5335 0.48 1363 1960 0.695 1042 2483 3525 1878 657 345 1152
"26" "Toronto Raptors" 45 37 7968 97.2 7981 97.3 -13 -0.0999999999999943 1 2000 82 19755 2980 6882 0.433 425 1171 0.363 2555 5711 0.447 1583 2068 0.765 1098 2449 3547 1947 666 544 1137
"27" "Utah Jazz" 55 27 7914 96.5 7548 92 366 4.5 1 2000 82 19755 2962 6380 0.464 329 854 0.385 2633 5526 0.476 1661 2150 0.773 936 2426 3362 2041 629 446 1220
"28" "Vancouver Grizzlies" 22 60 7702 93.9 8163 99.5 -461 -5.59999999999999 0 2000 82 19855 2892 6441 0.449 324 898 0.361 2568 5543 0.463 1594 2060 0.774 1005 2324 3329 1700 608 346 1381
"29" "Washington Wizards" 29 53 7921 96.6 8190 99.9 -269 -3.30000000000001 0 2000 82 19805 3010 6681 0.451 335 890 0.376 2675 5791 0.462 1566 2107 0.743 1064 2438 3502 1771 593 383 1320
"30" "Atlanta Hawks" 25 57 7459 91 7886 96.2 -427 -5.2 0 2001 82 19730 2876 6668 0.431 333 933 0.357 2543 5735 0.443 1374 1811 0.759 1028 2490 3518 1559 634 387 1368
"31" "Boston Celtics" 36 46 7759 94.6 7934 96.8 -175 -2.2 0 2001 82 19830 2773 6485 0.428 592 1633 0.363 2181 4852 0.45 1621 2190 0.74 897 2367 3264 1708 769 336 1285
"32" "Charlotte Hornets" 46 36 7539 91.9 7367 89.8 172 2.10000000000001 1 2001 82 19880 2800 6501 0.431 340 984 0.346 2460 5517 0.446 1599 2146 0.745 1033 2608 3641 1900 665 455 1183
"33" "Chicago Bulls" 15 67 7181 87.6 7927 96.7 -746 -9.10000000000001 0 2001 82 19855 2721 6411 0.424 329 950 0.346 2392 5461 0.438 1410 1909 0.739 926 2260 3186 1810 675 379 1292
"34" "Cleveland Cavaliers" 30 52 7561 92.2 7909 96.5 -348 -4.3 0 2001 82 19830 2890 6532 0.442 220 659 0.334 2670 5873 0.455 1561 2040 0.765 1015 2440 3455 1708 642 436 1350
