"Team","Year","W","L","PTS","PTS.G","oppPTS","Playoffs","G","MP","FG","FGA","FG_P","X3P","X3PA","X3P_P","X2P","X2PA","X2P_P","FT","FTA","FT_P","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
"Atlanta Hawks",2010,53,29,8338,101.7,7956,1,82,19855,3181,6801,0.468,524,1455,0.36,2657,5346,0.497,1452,1914,0.759,969,2451,3420,1789,592,413,980,1632
"Boston Celtics",2010,50,32,8136,99.2,7836,1,82,19780,3039,6294,0.483,499,1433,0.348,2540,4861,0.523,1559,2090,0.746,716,2449,3165,1930,701,402,1219,1816
"Charlotte Bobcats",2010,44,38,7813,95.3,7693,1,82,19880,2858,6306,0.453,460,1331,0.346,2398,4975,0.482,1637,2180,0.751,858,2490,3348,1658,632,446,1290,1597
"Chicago Bulls",2010,41,41,7993,97.5,8127,1,82,19905,3081,6825,0.451,352,1066,0.33,2729,5759,0.474,1479,1962,0.754,937,2715,3652,1704,531,478,1175,1648
"Cleveland Cavaliers",2010,61,21,8373,102.1,7838,1,82,19780,3101,6391,0.485,602,1582,0.381,2499,4809,0.52,1569,2180,0.72,791,2692,3483,1835,564,425,1137,1591
"Dallas Mavericks",2010,55,27,8364,102,8141,1,82,19880,3140,6760,0.464,558,1498,0.372,2582,5262,0.491,1526,1870,0.816,834,2586,3420,1917,624,449,1059,1563
"Denver Nuggets",2010,53,29,8729,106.5,8394,1,82,19780,3124,6678,0.468,544,1517,0.359,2580,5161,0.5,1937,2508,0.772,889,2505,3394,1719,683,417,1136,1844
"Detroit Pistons",2010,27,55,7709,94,8128,0,82,19780,2940,6602,0.445,374,1190,0.314,2566,5412,0.474,1455,1998,0.728,1053,2242,3295,1591,596,313,1100,1822
"Golden State Warriors",2010,26,56,8922,108.8,9217,0,82,19730,3329,7094,0.469,633,1687,0.375,2696,5407,0.499,1631,2085,0.782,753,2397,3150,1839,761,340,1204,1886
"Houston Rockets",2010,42,40,8395,102.4,8425,0,82,19905,3094,6923,0.447,646,1838,0.351,2448,5085,0.481,1561,2022,0.772,971,2471,3442,1790,583,318,1188,1712
"Indiana Pacers",2010,32,50,8263,100.8,8510,0,82,19705,3020,6823,0.443,659,1896,0.348,2361,4927,0.479,1564,2019,0.775,785,2618,3403,1730,585,439,1232,1848
"Los Angeles Clippers",2010,29,53,7849,95.7,8370,0,82,19705,3002,6601,0.455,483,1457,0.332,2519,5144,0.49,1362,1867,0.73,927,2502,3429,1810,532,466,1285,1581
